"S0","E0","Is0","Ia0","R0","D0"
26446427.7823912,3.95517967931469,2.02448580559658,1.23794335152625,1e-10,1e-10
26446418.4375488,9.96020771885373,1.73554462423966,4.86669888275929,1e-10,1e-10
26446427.1889587,4.71318630345863,2.00314890023268,1.09470614279145,1e-10,1e-10
26446423.2894422,4.64410613235955,2.79154645586679,4.27490522520042,1e-10,1e-10
26446422.3639466,7.20654415595732,2.28574649506643,3.1437627273016,1e-10,1e-10
26446411.9745181,12.1534636564047,4.40135501983071,6.47066324845702,1e-10,1e-10
26446419.7671962,4.12433921604221,4.1661522232987,6.94231234051105,1e-10,1e-10
26446429.7518621,1.3866733761716,1.59446664337266,2.26699787270169,1e-10,1e-10
26446420.7923167,3.19944578969018,2.34778078951522,8.66045675900892,1e-10,1e-10
26446427.6806023,1.58786784581861,1.80938197688756,3.92214790146831,1e-10,1e-10
26446422.5359225,3.76051482842517,1.01335183268437,7.69021080092014,1e-10,1e-10
26446418.8909437,10.2533020362205,1.6778362576419,4.17791803209015,1e-10,1e-10
26446424.283135,3.99302954326692,2.12282061507821,4.60101483007215,1e-10,1e-10
26446427.6806537,2.04667185129731,1.63441540195785,3.63825907479056,1e-10,1e-10
26446423.7162322,5.72569650265942,1.7955279004504,3.7625433526606,1e-10,1e-10
26446417.5353503,8.9896532050403,1.74467536549298,6.73032111610106,1e-10,1e-10
26446423.9167627,2.68292782971195,2.01954800916892,6.38076145870816,1e-10,1e-10
