Time,Is,D
78.84,12.0781,200.8148
78.986,12.0777,200.8327
79.132,12.0773,200.8507
79.278,12.0769,200.8686
79.424,12.0766,200.8865
79.57,12.0764,200.9045
79.716,12.0761,200.9224
79.862,12.0759,200.9404
80.008,12.0758,200.9583
80.154,12.0757,200.9762
80.3,12.0757,200.9942
80.446,12.0756,201.0121
80.592,12.0757,201.0301
80.738,12.0757,201.048
80.884,12.0759,201.0659
81.03,12.076,201.0839
81.176,12.0762,201.1018
81.322,12.0764,201.1198
81.468,12.0767,201.1377
81.614,12.0771,201.1556
81.76,12.0774,201.1736
81.906,12.0778,201.1915
82.052,12.0783,201.2095
82.198,12.0788,201.2274
82.344,12.0793,201.2454
82.49,12.0799,201.2633
82.636,12.0805,201.2813
82.782,12.0812,201.2992
82.928,12.0819,201.3172
83.074,12.0826,201.3351
83.22,12.0834,201.3531
83.366,12.0843,201.371
83.512,12.0851,201.389
83.658,12.0861,201.4069
83.804,12.087,201.4249
83.95,12.088,201.4428
84.096,12.0891,201.4608
84.242,12.0901,201.4788
84.388,12.0913,201.4967
84.534,12.0924,201.5147
84.68,12.0937,201.5327
84.826,12.0949,201.5506
84.972,12.0962,201.5686
85.118,12.0975,201.5866
85.264,12.0989,201.6045
85.41,12.1003,201.6225
85.556,12.1018,201.6405
85.702,12.1033,201.6585
85.848,12.1049,201.6765
85.994,12.1065,201.6944
86.14,12.1081,201.7124
86.286,12.1098,201.7304
86.432,12.1115,201.7484
86.578,12.1132,201.7664
86.724,12.115,201.7844
86.87,12.1169,201.8024
87.016,12.1188,201.8204
87.162,12.1207,201.8384
87.308,12.1227,201.8564
87.454,12.1247,201.8744
87.6,12.1267,201.8924
87.746,12.1288,201.9105
87.892,12.131,201.9285
88.038,12.1332,201.9465
88.184,12.1354,201.9645
88.33,12.1376,201.9826
88.476,12.14,202.0006
88.622,12.1423,202.0186
88.768,12.1447,202.0367
88.914,12.1471,202.0547
89.06,12.1496,202.0728
89.206,12.1521,202.0908
89.352,12.1547,202.1089
89.498,12.1573,202.1269
89.644,12.1599,202.145
89.79,12.1626,202.1631
89.936,12.1653,202.1811
90.082,12.1681,202.1992
90.228,12.1709,202.2173
90.374,12.1738,202.2354
90.52,12.1767,202.2535
90.666,12.1796,202.2716
90.812,12.1826,202.2897
90.958,12.1856,202.3078
91.104,12.1887,202.3259
91.25,12.1918,202.344
91.396,12.1949,202.3621
91.542,12.1981,202.3802
91.688,12.2014,202.3983
91.834,12.2047,202.4165
91.98,12.208,202.4346
92.126,12.2113,202.4527
92.272,12.2147,202.4709
92.418,12.2182,202.489
92.564,12.2217,202.5072
92.71,12.2252,202.5253
92.856,12.2288,202.5435
93.002,12.2324,202.5617
93.148,12.2361,202.5799
93.294,12.2398,202.598
93.44,12.2435,202.6162
93.586,12.2473,202.6344
93.732,12.2511,202.6526
93.878,12.255,202.6708
94.024,12.2589,202.689
94.17,12.2629,202.7072
94.316,12.2668,202.7255
94.462,12.2709,202.7437
94.608,12.275,202.7619
94.754,12.2791,202.7802
94.9,12.2833,202.7984
95.046,12.2875,202.8167
95.192,12.2917,202.8349
95.338,12.296,202.8532
95.484,12.3004,202.8715
95.63,12.3048,202.8897
95.776,12.3092,202.908
95.922,12.3136,202.9263
96.068,12.3182,202.9446
96.214,12.3227,202.9629
96.36,12.3273,202.9812
96.506,12.3319,202.9995
96.652,12.3366,203.0179
96.798,12.3413,203.0362
96.944,12.3461,203.0545
97.09,12.3509,203.0729
97.236,12.3558,203.0912
97.382,12.3607,203.1096
97.528,12.3656,203.128
97.674,12.3706,203.1463
97.82,12.3756,203.1647
97.966,12.3807,203.1831
98.112,12.3858,203.2015
98.258,12.391,203.2199
98.404,12.3962,203.2383
98.55,12.4014,203.2567
98.696,12.4067,203.2752
98.842,12.412,203.2936
98.988,12.4174,203.3121
99.134,12.4228,203.3305
99.28,12.4283,203.349
99.426,12.4338,203.3674
99.572,12.4393,203.3859
99.718,12.4449,203.4044
99.864,12.4505,203.4229
100.01,12.4562,203.4414
100.156,12.4619,203.4599
100.302,12.4677,203.4784
100.448,12.4735,203.4969
100.594,12.4793,203.5155
100.74,12.4852,203.534
100.886,12.4912,203.5526
101.032,12.4971,203.5711
101.178,12.5032,203.5897
101.324,12.5092,203.6083
101.47,12.5153,203.6269
101.616,12.5215,203.6455
101.762,12.5277,203.6641
101.908,12.5339,203.6827
102.054,12.5402,203.7013
102.2,12.5466,203.72
102.346,12.5529,203.7386
102.492,12.5594,203.7573
102.638,12.5658,203.7759
102.784,12.5723,203.7946
102.93,12.5789,203.8133
103.076,12.5855,203.832
103.222,12.5921,203.8507
103.368,12.5988,203.8694
103.514,12.6056,203.8881
103.66,12.6123,203.9068
103.806,12.6191,203.9256
103.952,12.626,203.9443
104.098,12.6329,203.9631
104.244,12.6399,203.9819
104.39,12.6469,204.0007
104.536,12.6539,204.0195
104.682,12.661,204.0383
104.828,12.6681,204.0571
104.974,12.6753,204.0759
105.12,12.6825,204.0947
105.266,12.6898,204.1136
105.412,12.6971,204.1324
105.558,12.7045,204.1513
105.704,12.7119,204.1702
105.85,12.7193,204.1891
105.996,12.7268,204.208
106.142,12.7344,204.2269
106.288,12.742,204.2458
106.434,12.7496,204.2648
106.58,12.7573,204.2837
106.726,12.765,204.3027
106.872,12.7727,204.3216
107.018,12.7806,204.3406
107.164,12.7884,204.3596
107.31,12.7963,204.3786
107.456,12.8043,204.3976
107.602,12.8123,204.4167
107.748,12.8203,204.4357
107.894,12.8284,204.4548
108.04,12.8365,204.4738
108.186,12.8447,204.4929
